Academic Year,Centre Code,Centre,University,Academic Level,Degree Code,Degree,Ambit,nota_corte
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Máster,4313649,Abogacía y Procura,Ciencias Sociales y Jurídicas,6.07
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4312074,Anatomía Aplicada a la Clínica,Ciencias de la Salud,7.59
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Máster,4316158,Análisis Político Aplicado,Ciencias Sociales y Jurídicas,6.21
2024-2025,30011387,Facultad de Ciencias del Trabajo,Universidad de Murcia,Máster,4315270,Asesoría Jurídico Laboral,Ciencias Sociales y Jurídicas,6.67
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Máster,4315265,Auditoría de Cuentas,Ciencias Sociales y Jurídicas,6.34
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Máster,4312088,"Bioderecho: Derecho, Ética y Ciencia",Ciencias Sociales y Jurídicas,7.0
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Máster,4314633,Bioinformática,Ingeniería y Arquitectura,5.0
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Máster,4310191,Biología Molecular y Biotecnología,Ciencias,6.49
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4312075,Bioética,Ciencias de la Salud,7.09
2024-2025,30011715,Facultad de Informática,Universidad de Murcia,Máster,4318438,Ciberseguridad,Ingeniería y Arquitectura,6.61
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Máster,4312067,Ciencias Forenses,Ciencias de la Salud,6.59
2024-2025,30011430,Facultad de Comunicación y Documentación,Universidad de Murcia,Máster,4314678,Comunicación Móvil y Contenido Digital,Ingeniería y Arquitectura,6.59
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Máster,4317821,Criminología y Delincuencia,Ciencias Sociales y Jurídicas,5.0
2024-2025,30011727,Facultad de Trabajo Social,Universidad de Murcia,Máster,4317038,Dependencia,Ciencias Sociales y Jurídicas,6.17
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Máster,4312434,Dirección de Empresas (MBA),Ciencias Sociales y Jurídicas,6.52
2024-2025,30011387,Facultad de Ciencias del Trabajo,Universidad de Murcia,Máster,4315156,Dirección y Gestión de Recursos Humanos,Ciencias Sociales y Jurídicas,6.13
2024-2025,30014157,"Escuela de Negocios, Dirección y Administración",Universidad de Murcia,Máster,4317167,Dirección y Gestión en Comercio Internacional / International Trade,Ciencias Sociales y Jurídicas,6.89
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4312094,"Educación y Museos: Patrimonio, Identidad y Mediación Cultural",Ciencias Sociales y Jurídicas,6.18
2024-2025,30011821,Facultad de Enfermería,Universidad de Murcia,Máster,4318140,Enfermería en la Atención y Cuidados del Paciente Crítico,Ciencias de la Salud,5.0
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4312078,Envejecimiento,Ciencias de la Salud,5.0
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Máster,4310193,Finanzas,Ciencias Sociales y Jurídicas,5.92
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4315529,Fisioterapia Neurológica del Niño y el Adulto,Ciencias de la Salud,5.0
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4310621,"Formación del Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional, Enseñanzas de Idiomas y Enseñanzas Artísticas",Ciencias Sociales y Jurídicas,
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4317700,"Gestión Clínica, Calidad y Seguridad del Paciente",Ciencias de la Salud,5.0
2024-2025,30013281,Facultad de Turismo,Universidad de Murcia,Máster,4312096,Gestión Hotelera,Ciencias Sociales y Jurídicas,5.6
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Máster,4312068,Gestión de Recursos Pesqueros y Agricultura,Ciencias Sociales y Jurídicas,5.0
2024-2025,30014157,"Escuela de Negocios, Dirección y Administración",Universidad de Murcia,Máster,4317435,Gestión de Riesgos en las Organizaciones,Ciencias Sociales y Jurídicas,7.0
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Máster,4310537,Género e Igualdad,Artes y Humanidades,7.02
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4312081,Hematología y Oncología Clínico-Experimental,Ciencias de la Salud,5.0
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Máster,4313910,Historia y Patrimonio Histórico,Artes y Humanidades,7.25
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4314768,"Inclusión-Exclusión Social y Educativa: Políticas, Programas y Prácticas",Ciencias Sociales y Jurídicas,7.17
2024-2025,30010218,Facultad de Química,Universidad de Murcia,Máster,4317424,Ingeniería Química,Ciencias,6.3
2024-2025,30011715,Facultad de Informática,Universidad de Murcia,Máster,4318225,Ingeniería del Sofware / Master in Software Engineering,Ingeniería y Arquitectura,5.88
