"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"1001000","Arquitecto","Varias Universidades","Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1001000","Arquitecto","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5067000","Arquitecto Técnico","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4011000","Diplomado en Ciencias Empresariales","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4021000","Diplomado en Educación Social","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4008000","Diplomado en Enfermería","Varias Universidades","Ciclo Corto","Ciencias de la Salud","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4023000","Diplomado en Máquinas Navales","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4024000","Diplomado en Navegación Marítima","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4029000","Diplomado en Nutrición Humana y Dietética","Varias Universidades","Ciclo Corto","Ciencias","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4019000","Diplomado en Relaciones Laborales","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4010000","Diplomado en Trabajo Social","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1019000","Ingeniero de Materiales","Varias Universidades","Sólo Segundo Ciclo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1014000","Ingeniero de Organización Industrial","Varias Universidades","Sólo Segundo Ciclo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1008000","Ingeniero de Telecomunicación","Varias Universidades","Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1008000","Ingeniero de Telecomunicación","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1013000","Ingeniero en Automática y Electrónica Industrial","Varias Universidades","Sólo Segundo Ciclo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1012000","Ingeniero en Electrónica","Varias Universidades","Sólo Segundo Ciclo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1011000","Ingeniero en Informática","Varias Universidades","Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1011000","Ingeniero en Informática","Varias Universidades","Sólo Segundo Ciclo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1011000","Ingeniero en Informática","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1009000","Ingeniero Industrial","Varias Universidades","Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1009000","Ingeniero Industrial","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1015000","Ingeniero Químico","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"1015000","Ingeniero Químico","Varias Universidades","Ciclo Largo","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5117000","Ingeniero Técnico de Minas, Especialidad en Explotación de Minas","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5120000","Ingeniero Técnico de Minas, Especialidad en Mineralurgia y Metalurgia","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
