Academic Year,Degree,Ambit,Academic Level,University,UniversityId,Center,Adjudication Quota,Cut Off Grade
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,Deportistas de alto nivel,5.000
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,Mayores de 45 años,5.000
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,Mayores de 25 años,5.000
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,Mayores de 40 años,5.000
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,Discapacidad,5.000
2023-2024,Bellas Artes,Artes y Humanidades,Grado,Universidad de Teruel,c59bd4385c46249b4418b9cb364ac9da,Facultad de Ciencias Sociales y Humanas de Teruel,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),7.620
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Filosofía,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
